Estacion,Fecha,Q
44,01/01/1980,7.978
44,02/01/1980,7.978
44,03/01/1980,7.978
44,04/01/1980,7.978
44,05/01/1980,7.978
44,06/01/1980,7.978
44,07/01/1980,7.978
44,08/01/1980,7.978
44,09/01/1980,9.326
44,10/01/1980,9.326
44,11/01/1980,7.978
44,12/01/1980,7.978
44,13/01/1980,7.978
44,14/01/1980,7.978
44,15/01/1980,7.978
44,16/01/1980,7.978
44,17/01/1980,7.978
44,18/01/1980,7.978
44,19/01/1980,7.978
44,20/01/1980,7.978
44,21/01/1980,7.978
44,22/01/1980,7.978
44,23/01/1980,7.978
44,24/01/1980,9.326
44,25/01/1980,10.74
44,26/01/1980,12.218
44,27/01/1980,10.74
44,28/01/1980,10.74
44,29/01/1980,9.326
44,30/01/1980,9.326
44,31/01/1980,9.326
44,01/02/1980,9.326
44,02/02/1980,9.326
44,03/02/1980,9.326
44,04/02/1980,9.326
44,05/02/1980,9.326
44,06/02/1980,10.74
44,07/02/1980,10.74
44,08/02/1980,9.326
44,09/02/1980,9.326
44,10/02/1980,9.326
44,11/02/1980,10.74
44,12/02/1980,10.74
44,13/02/1980,9.326
44,14/02/1980,9.326
44,15/02/1980,9.326
44,16/02/1980,9.326
44,17/02/1980,9.326
44,18/02/1980,9.326
44,19/02/1980,22.279
44,20/02/1980,17.005
44,21/02/1980,15.353
44,22/02/1980,13.757
44,23/02/1980,10.74
44,24/02/1980,9.326
44,25/02/1980,9.326
44,26/02/1980,57.161
44,27/02/1980,42.872
44,28/02/1980,29.992
44,29/02/1980,22.279
44,01/03/1980,36.246
44,02/03/1980,42.872
44,03/03/1980,26.042
44,04/03/1980,20.47
44,05/03/1980,18.711
44,06/03/1980,34.119
44,07/03/1980,62.212
44,08/03/1980,72.722
44,09/03/1980,36.246
44,10/03/1980,26.042
44,11/03/1980,18.711
44,12/03/1980,18.711
44,13/03/1980,18.711
44,14/03/1980,18.711
44,15/03/1980,17.005
44,16/03/1980,17.005
44,17/03/1980,17.005
44,18/03/1980,15.353
44,19/03/1980,15.353
44,20/03/1980,15.353
44,21/03/1980,13.757
44,22/03/1980,13.757
44,23/03/1980,24.137
44,24/03/1980,92.348
44,25/03/1980,75.431
44,26/03/1980,67.4
44,27/03/1980,38.414
44,28/03/1980,29.992
44,29/03/1980,22.279
44,30/03/1980,20.47
44,31/03/1980,18.711
44,01/04/1980,17.005
44,02/04/1980,15.353
44,03/04/1980,15.353
44,04/04/1980,15.353
44,05/04/1980,13.757
44,06/04/1980,13.757
44,07/04/1980,22.279
44,08/04/1980,18.711
44,09/04/1980,17.005
44,10/04/1980,15.353
44,11/04/1980,22.279
44,12/04/1980,72.722
44,13/04/1980,101.213
44,14/04/1980,52.25
44,15/04/1980,34.119
44,16/04/1980,26.042
44,17/04/1980,24.137
44,18/04/1980,24.137
44,19/04/1980,24.137
44,20/04/1980,32.034
44,21/04/1980,64.789
44,22/04/1980,52.25
44,23/04/1980,42.872
44,24/04/1980,34.119
44,25/04/1980,72.722
44,26/04/1980,663.203
44,27/04/1980,198.927
44,28/04/1980,72.722
44,29/04/1980,62.212
44,30/04/1980,194.79
44,01/05/1980,194.79
44,02/05/1980,98.229
44,03/05/1980,59.669
44,04/05/1980,47.486
44,05/05/1980,42.872
44,06/05/1980,38.414
44,07/05/1980,34.119
44,08/05/1980,32.034
44,09/05/1980,29.992
44,10/05/1980,29.992
44,11/05/1980,26.042
44,12/05/1980,22.279
44,13/05/1980,24.137
44,14/05/1980,24.137
44,15/05/1980,29.992
44,16/05/1980,26.042
44,17/05/1980,26.042
44,18/05/1980,22.279
44,19/05/1980,24.137
44,20/05/1980,29.992
44,21/05/1980,52.25
44,22/05/1980,207.266
44,23/05/1980,120.653
44,24/05/1980,72.722
44,25/05/1980,52.25
44,26/05/1980,42.872
44,27/05/1980,40.623
44,28/05/1980,38.414
44,29/05/1980,36.246
44,30/05/1980,40.623
44,31/05/1980,98.229
44,01/06/1980,78.173
44,02/06/1980,67.4
44,03/06/1980,38.414
44,04/06/1980,38.414
44,05/06/1980,36.246
44,06/06/1980,36.246
44,07/06/1980,38.414
44,08/06/1980,47.486
44,09/06/1980,62.212
44,10/06/1980,128.027
44,11/06/1980,170.437
44,12/06/1980,198.927
44,13/06/1980,228.472
44,14/06/1980,190.675
44,15/06/1980,104.227
44,16/06/1980,67.4
44,17/06/1980,57.161
44,18/06/1980,47.486
44,19/06/1980,67.4
44,20/06/1980,89.452
44,21/06/1980,78.173
44,22/06/1980,67.4
44,23/06/1980,72.722
44,24/06/1980,83.751
44,25/06/1980,113.437
44,26/06/1980,146.927
44,27/06/1980,107.269
44,28/06/1980,57.161
44,29/06/1980,42.872
44,30/06/1980,72.722
44,01/07/1980,146.927
44,02/07/1980,95.274
44,03/07/1980,57.161
44,04/07/1980,47.486
44,05/07/1980,45.16
44,06/07/1980,52.25
44,07/07/1980,72.722
44,08/07/1980,663.203
44,09/07/1980,194.79
44,10/07/1980,101.213
44,11/07/1980,78.173
44,12/07/1980,67.4
44,13/07/1980,57.161
44,14/07/1980,54.688
44,15/07/1980,52.25
44,16/07/1980,42.872
44,17/07/1980,38.414
44,18/07/1980,36.246
44,19/07/1980,34.119
44,20/07/1980,29.992
44,21/07/1980,29.992
44,22/07/1980,29.992
44,23/07/1980,26.042
44,24/07/1980,26.042
44,25/07/1980,38.414
44,26/07/1980,83.751
44,27/07/1980,107.269
44,28/07/1980,75.431
44,29/07/1980,52.25
44,30/07/1980,40.623
44,31/07/1980,34.119
44,01/08/1980,32.034
44,02/08/1980,29.992
44,03/08/1980,26.042
44,04/08/1980,62.212
44,05/08/1980,703.631
44,06/08/1980,253.404
44,07/08/1980,120.653
44,08/08/1980,86.586
44,09/08/1980,78.173
44,10/08/1980,38.414
44,11/08/1980,52.25
44,12/08/1980,42.872
44,13/08/1980,40.623
44,14/08/1980,38.414
44,15/08/1980,34.119
44,16/08/1980,34.119
44,17/08/1980,38.414
44,18/08/1980,72.722
44,19/08/1980,52.25
44,20/08/1980,36.246
44,21/08/1980,34.119
44,22/08/1980,29.992
44,23/08/1980,29.992
44,24/08/1980,27.995
44,25/08/1980,26.042
44,26/08/1980,24.137
44,27/08/1980,24.137
44,28/08/1980,22.279
44,29/08/1980,22.279
44,30/08/1980,22.279
44,31/08/1980,34.119
44,01/09/1980,67.4
44,02/09/1980,52.25
44,03/09/1980,29.992
44,04/09/1980,22.279
